cond_sota,cond,sum_mora_human,sec_interact_dur,sum_mora_robot,all_mora
1,1,1172,613,742,1914
1,1,884,476,408,1292
1,1,416,596,595,1011
1,1,945,600,482,1427
0,1,1162,749,1027,2189
0,1,2207,1033,1048,3255
1,1,1780,730,970,2750
1,1,897,668,650,1547
1,1,1693,936,915,2608
0,1,1521,739,744,2265
0,1,1921,1274,900,2821
1,1,651,971,1030,1681
1,1,2784,897,912,3696
1,1,860,734,674,1534
1,1,2894,919,903,3797
1,1,1659,887,962,2621
1,1,1811,936,847,2658
1,1,1045,603,762,1807
1,1,1031,622,1034,2065
1,1,1992,727,888,2880
1,1,1128,672,817,1945
1,1,1236,711,848,2084
0,0,3885,1186,929,4814
1,1,740,595,1306,2046
0,0,692,618,947,1639
1,1,2874,854,822,3696
0,0,1462,649,909,2371
1,1,771,649,907,1678
1,1,600,697,944,1544
0,0,1375,610,829,2204
1,1,1007,777,1120,2127
0,0,866,749,1228,2094
0,0,996,723,832,1828
0,0,785,614,947,1732
0,0,1390,871,1238,2628
1,1,1899,747,806,2705
0,0,3078,1126,683,3761
1,1,774,590,902,1676
1,1,354,665,995,1349
0,0,1378,655,856,2234
1,1,1479,853,779,2258
0,0,1782,748,978,2760
1,1,1951,938,1140,3091
1,1,1832,838,621,2453
1,1,1238,677,775,2013
1,1,1502,743,966,2468
0,0,2654,947,1504,4158
0,0,959,651,956,1915
1,1,976,800,775,1751
1,1,1730,656,926,2656
1,1,1280,683,943,2223
1,1,648,652,720,1368
1,1,1172,839,913,2085
0,0,618,656,1176,1794
0,0,1225,689,624,1849
0,0,798,705,948,1746
0,0,1570,752,1106,2676
0,0,2427,958,1418,3845
0,0,4650,1404,962,5612
0,0,1621,771,1191,2812
0,0,868,700,785,1653
0,0,1041,797,894,1935
0,0,2009,717,1190,3199
0,0,1345,832,1041,2386
0,0,1865,855,879,2744
0,0,2636,961,855,3491
0,0,1107,700,1067,2174
0,0,994,794,1270,2264
0,0,590,618,916,1506
0,0,2705,1098,1556,4261
0,0,1109,609,1009,2118
0,0,787,621,845,1632
0,0,1179,670,1277,2456
0,0,613,727,1011,1624
